ORIGIN,Description,N/A(PCT_ONTIME_DEP),Year
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",73.61,2013
DHN,"Dothan, AL: Dothan Regional",82.63,2013
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",79.75,2013
DLG,"Dillingham, AK: Dillingham Airport",75.32,2013
DLH,"Duluth, MN: Duluth International",81.83,2013
DRO,"Durango, CO: Durango La Plata County",81.18,2013
DRT,"Del Rio, TX: Del Rio International",90.29,2013
DSM,"Des Moines, IA: Des Moines International",79.05,2013
DTW,"Detroit, MI: Detroit Metro Wayne County",82.36,2013
EAU,"Eau Claire, WI: Chippewa Valley Regional",81.07,2013
ECP,"Panama City, FL: Northwest Florida Beaches International",82.03,2013
EGE,"Eagle, CO: Eagle County Regional",80.37,2013
EKO,"Elko, NV: Elko Regional",90.79,2013
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",88.16,2013
ELP,"El Paso, TX: El Paso International",82.14,2013
ERI,"Erie, PA: Erie International/Tom Ridge Field",86.03,2013
ESC,"Escanaba, MI: Delta County",89.65,2013
EUG,"Eugene, OR: Mahlon Sweet Field",81.15,2013
EVV,"Evansville, IN: Evansville Regional",81.52,2013
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",83.23,2013
EWR,"Newark, NJ: Newark Liberty International",72.65,2013
EYW,"Key West, FL: Key West International",83.81,2013
FAI,"Fairbanks, AK: Fairbanks International",89.53,2013
FAR,"Fargo, ND: Hector International",79.16,2013
FAT,"Fresno, CA: Fresno Yosemite International",81.53,2013
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",82.58,2013
FCA,"Kalispell, MT: Glacier Park International",91.25,2013
FLG,"Flagstaff, AZ: Flagstaff Pulliam",89.45,2013
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",77.93,2013
FNT,"Flint, MI: Bishop International",88.95,2013
FSD,"Sioux Falls, SD: Joe Foss Field",79.19,2013
FSM,"Fort Smith, AR: Fort Smith Regional",83.88,2013
FWA,"Fort Wayne, IN: Fort Wayne International",80.92,2013
GCC,"Gillette, WY: Gillette Campbell County",86.49,2013
GCK,"Garden City, KS: Garden City Regional",83.1,2013
GEG,"Spokane, WA: Spokane International",88.04,2013
GFK,"Grand Forks, ND: Grand Forks International",88.57,2013
GGG,"Longview, TX: East Texas Regional",77.65,2013
GJT,"Grand Junction, CO: Grand Junction Regional",86.51,2013
GNV,"Gainesville, FL: Gainesville Regional",83.73,2013
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",80.15,2013
GRB,"Green Bay, WI: Green Bay Austin Straubel International",79.99,2013
GRI,"Grand Island, NE: Central Nebraska Regional",81.98,2013
GRK,"Killeen, TX: Robert Gray AAF",81.35,2013
GRR,"Grand Rapids, MI: Gerald R. Ford International",81.39,2013
GSO,"Greensboro/High Point, NC: Piedmont Triad International",80.85,2013
GSP,"Greer, SC: Greenville-Spartanburg International",82.61,2013
GST,"Gustavus, AK: Gustavus Airport",72.73,2013
GTF,"Great Falls, MT: Great Falls International",89.37,2013
GTR,"Columbus, MS: Golden Triangle Regional",83.38,2013
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",76.0,2013
GUM,"Guam, TT: Guam International",70.49,2013
HDN,"Hayden, CO: Yampa Valley",80.86,2013
HIB,"Hibbing, MN: Range Regional",90.75,2013
HLN,"Helena, MT: Helena Regional",91.98,2013
HNL,"Honolulu, HI: Daniel K Inouye International",89.13,2013
HOB,"Hobbs, NM: Lea County Regional",83.67,2013
HOU,"Houston, TX: William P Hobby",70.75,2013
HPN,"White Plains, NY: Westchester County",78.14,2013
HRL,"Harlingen/San Benito, TX: Valley International",85.36,2013
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",81.45,2013
IAD,"Washington, DC: Washington Dulles International",76.36,2013
IAH,"Houston, TX: George Bush Intercontinental/Houston",77.97,2013
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",78.84,2013
IDA,"Idaho Falls, ID: Idaho Falls Regional",90.32,2013
ILG,"Wilmington, DE: New Castle",85.96,2013
ILM,"Wilmington, NC: Wilmington International",84.1,2013
IMT,"Iron Mountain/Kingsfd, MI: Ford",85.88,2013
IND,"Indianapolis, IN: Indianapolis International",82.58,2013
INL,"International Falls, MN: Falls International Einarson Field",88.45,2013
IPL,"El Centro, CA: Imperial County",86.15,2013
ISN,"Williston, ND: Sloulin Field International",81.45,2013
ISP,"Islip, NY: Long Island MacArthur",78.66,2013
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",86.82,2013
ITO,"Hilo, HI: Hilo International",93.04,2013
IYK,"Inyokern, CA: Inyokern Airport",89.67,2013
JAC,"Jackson, WY: Jackson Hole",84.2,2013
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",81.75,2013
JAX,"Jacksonville, FL: Jacksonville International",82.14,2013
JFK,"New York, NY: John F. Kennedy International",77.31,2013
JLN,"Joplin, MO: Joplin Regional",81.57,2013
JNU,"Juneau, AK: Juneau International",85.64,2013
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",89.43,2013
KTN,"Ketchikan, AK: Ketchikan International",86.12,2013
LAN,"Lansing, MI: Capital Region International",80.94,2013
LAR,"Laramie, WY: Laramie Regional",84.22,2013
LAS,"Las Vegas, NV: McCarran International",76.65,2013
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",82.39,2013
LAX,"Los Angeles, CA: Los Angeles International",80.86,2013
LBB,"Lubbock, TX: Lubbock Preston Smith International",81.73,2013
LCH,"Lake Charles, LA: Lake Charles Regional",86.4,2013
LEX,"Lexington, KY: Blue Grass",80.38,2013
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",79.81,2013
LGA,"New York, NY: LaGuardia",78.0,2013
LGB,"Long Beach, CA: Long Beach Airport",87.76,2013
LIH,"Lihue, HI: Lihue Airport",89.69,2013
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",78.28,2013
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",88.49,2013
LNK,"Lincoln, NE: Lincoln Airport",80.67,2013
LRD,"Laredo, TX: Laredo International",83.22,2013
LSE,"La Crosse, WI: La Crosse Regional",84.94,2013
LWS,"Lewiston, ID: Lewiston Nez Perce County",94.59,2013
MAF,"Midland/Odessa, TX: Midland International Air and Space Port",81.17,2013
MBS,"Saginaw/Bay City/Midland, MI: MBS International",84.58,2013
MCI,"Kansas City, MO: Kansas City International",79.58,2013
MCN,"Macon, GA: Middle Georgia Regional",100.0,2013
MCO,"Orlando, FL: Orlando International",79.46,2013
MDT,"Harrisburg, PA: Harrisburg International",84.06,2013
MDW,"Chicago, IL: Chicago Midway International",66.6,2013
MEM,"Memphis, TN: Memphis International",82.77,2013
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",82.91,2013
MFR,"Medford, OR: Rogue Valley International - Medford",72.39,2013
MGM,"Montgomery, AL: Montgomery Regional",82.18,2013
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",80.53,2013
MHT,"Manchester, NH: Manchester-Boston Regional",81.61,2013
MIA,"Miami, FL: Miami International",80.7,2013
MKE,"Milwaukee, WI: General Mitchell International",79.52,2013
MKG,"Muskegon, MI: Muskegon County",72.15,2013
MLB,"Melbourne, FL: Melbourne International",86.72,2013
MLI,"Moline, IL: Quad City International",81.34,2013
MLU,"Monroe, LA: Monroe Regional",80.79,2013
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",66.95,2013
MOB,"Mobile, AL: Mobile Regional",80.6,2013
MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",69.9,2013
MOT,"Minot, ND: Minot International",81.51,2013
MQT,"Marquette, MI: Sawyer International",82.58,2013
MRY,"Monterey, CA: Monterey Regional",79.65,2013
MSN,"Madison, WI: Dane County Regional-Truax Field",79.06,2013
MSO,"Missoula, MT: Missoula International",84.36,2013
MSP,"Minneapolis, MN: Minneapolis-St Paul International",83.95,2013
MSY,"New Orleans, LA: Louis Armstrong New Orleans International",81.64,2013
MTJ,"Montrose/Delta, CO: Montrose Regional",76.31,2013
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",70.14,2013
MYR,"Myrtle Beach, SC: Myrtle Beach International",82.41,2013
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",81.12,2013
OAK,"Oakland, CA: Metropolitan Oakland International",79.88,2013
OGG,"Kahului, HI: Kahului Airport",89.71,2013
OKC,"Oklahoma City, OK: Will Rogers World",80.0,2013
OMA,"Omaha, NE: Eppley Airfield",81.57,2013
OME,"Nome, AK: Nome Airport",80.84,2013
ONT,"Ontario, CA: Ontario International",83.07,2013
ORD,"Chicago, IL: Chicago O'Hare International",70.37,2013
ORF,"Norfolk, VA: Norfolk International",80.91,2013
ORH,"Worcester, MA: Worcester Regional",70.64,2013
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",55.83,2013
OTZ,"Kotzebue, AK: Ralph Wien Memorial",81.68,2013
PAH,"Paducah, KY: Barkley Regional",83.4,2013
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",77.1,2013
PDX,"Portland, OR: Portland International",86.16,2013
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",81.37,2013
PHL,"Philadelphia, PA: Philadelphia International",80.69,2013
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",81.98,2013
PIA,"Peoria, IL: General Downing - Peoria International",79.94,2013
PIH,"Pocatello, ID: Pocatello Regional",88.19,2013
PIT,"Pittsburgh, PA: Pittsburgh International",83.31,2013
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",85.5,2013
PNS,"Pensacola, FL: Pensacola International",82.19,2013
PPG,"Pago Pago, TT: Pago Pago International",76.42,2013
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",89.25,2013
PSE,"Ponce, PR: Mercedita",83.46,2013
PSG,"Petersburg, AK: Petersburg James A Johnson",83.61,2013
PSP,"Palm Springs, CA: Palm Springs International",81.07,2013
PVD,"Providence, RI: Theodore Francis Green State",83.23,2013
PWM,"Portland, ME: Portland International Jetport",79.13,2013
RAP,"Rapid City, SD: Rapid City Regional",82.11,2013
RDD,"Redding, CA: Redding Municipal",71.91,2013
RDM,"Bend/Redmond, OR: Roberts Field",85.92,2013
RDU,"Raleigh/Durham, NC: Raleigh-Durham International",80.8,2013
RFD,"Rockford, IL: Chicago/Rockford International",84.34,2013
RHI,"Rhinelander, WI: Rhinelander/Oneida County",82.53,2013
RIC,"Richmond, VA: Richmond International",81.81,2013
RKS,"Rock Springs, WY: Southwest Wyoming Regional",82.23,2013
RNO,"Reno, NV: Reno/Tahoe International",80.52,2013
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",77.41,2013
ROC,"Rochester, NY: Greater Rochester International",77.85,2013
ROW,"Roswell, NM: Roswell International Air Center",81.83,2013
RST,"Rochester, MN: Rochester International",86.6,2013
RSW,"Fort Myers, FL: Southwest Florida International",83.41,2013
SAF,"Santa Fe, NM: Santa Fe Municipal",74.79,2013
SAN,"San Diego, CA: San Diego International",81.07,2013
SAT,"San Antonio, TX: San Antonio International",82.14,2013
SAV,"Savannah, GA: Savannah/Hilton Head International",78.07,2013
SBA,"Santa Barbara, CA: Santa Barbara Municipal",79.45,2013
SBN,"South Bend, IN: South Bend International",79.36,2013
SBP,"San Luis Obispo, CA: San Luis County Regional",80.69,2013
SCC,"Deadhorse, AK: Deadhorse Airport",81.0,2013
SCE,"State College, PA: University Park",88.32,2013
SDF,"Louisville, KY: Louisville Muhammad Ali International",79.41,2013
SEA,"Seattle, WA: Seattle/Tacoma International",85.59,2013
SFO,"San Francisco, CA: San Francisco International",76.74,2013
SGF,"Springfield, MO: Springfield-Branson National",77.36,2013
SGU,"St. George, UT: St George Regional",89.59,2013
SHD,"Staunton, VA: Shenandoah Valley Regional",76.19,2013
SHV,"Shreveport, LA: Shreveport Regional",79.75,2013
SIT,"Sitka, AK: Sitka Rocky Gutierrez",86.31,2013
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",82.52,2013
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",77.99,2013
SJU,"San Juan, PR: Luis Munoz Marin International",80.41,2013
SLC,"Salt Lake City, UT: Salt Lake City International",86.69,2013
SMF,"Sacramento, CA: Sacramento International",82.88,2013
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",86.83,2013
SNA,"Santa Ana, CA: John Wayne Airport-Orange County",82.66,2013
SPI,"Springfield, IL: Abraham Lincoln Capital",79.9,2013
SPN,"Saipan, TT: Francisco C. Ada Saipan International",100.0,2013
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",79.89,2013
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",81.94,2013
STL,"St. Louis, MO: St Louis Lambert International",76.37,2013
STT,"Charlotte Amalie, VI: Cyril E King",86.79,2013
STX,"Christiansted, VI: Henry E. Rohlsen",82.21,2013
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",80.18,2013
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",73.26,2013
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",84.46,2013
SYR,"Syracuse, NY: Syracuse Hancock International",78.87,2013
TLH,"Tallahassee, FL: Tallahassee International",80.92,2013
TPA,"Tampa, FL: Tampa International",81.44,2013
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",81.29,2013
TTN,"Trenton, NJ: Trenton Mercer",74.89,2013
TUL,"Tulsa, OK: Tulsa International",79.83,2013
TUS,"Tucson, AZ: Tucson International",85.35,2013
TVC,"Traverse City, MI: Cherry Capital",78.92,2013
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",91.31,2013
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",81.33,2013
TYR,"Tyler, TX: Tyler Pounds Regional",84.38,2013
TYS,"Knoxville, TN: McGhee Tyson",79.91,2013
VLD,"Valdosta, GA: Valdosta Regional",85.3,2013
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",80.05,2013
WRG,"Wrangell, AK: Wrangell Airport",84.16,2013
WYS,"West Yellowstone, MT: Yellowstone",95.96,2013
XNA,"Fayetteville, AR: Northwest Arkansas Regional",76.77,2013
YAK,"Yakutat, AK: Yakutat Airport",87.81,2013
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",90.07,2013
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",83.7,2014
ABI,"Abilene, TX: Abilene Regional",77.58,2014
ABQ,"Albuquerque, NM: Albuquerque International Sunport",75.83,2014
ABR,"Aberdeen, SD: Aberdeen Regional",89.76,2014
ABY,"Albany, GA: Southwest Georgia Regional",82.15,2014
ACK,"Nantucket, MA: Nantucket Memorial",84.89,2014
ACT,"Waco, TX: Waco Regional",77.92,2014
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",68.2,2014
ACY,"Atlantic City, NJ: Atlantic City International",83.3,2014
ADK,"Adak Island, AK: Adak",64.42,2014
ADQ,"Kodiak, AK: Kodiak Airport",84.89,2014
AEX,"Alexandria, LA: Alexandria International",79.77,2014
AGS,"Augusta, GA: Augusta Regional at Bush Field",81.09,2014
AKN,"King Salmon, AK: King Salmon Airport",73.02,2014
ALB,"Albany, NY: Albany International",80.35,2014
ALO,"Waterloo, IA: Waterloo Regional",74.48,2014
AMA,"Amarillo, TX: Rick Husband Amarillo International",74.69,2014
ANC,"Anchorage, AK: Ted Stevens Anchorage International",88.37,2014
APN,"Alpena, MI: Alpena County Regional",88.18,2014
ART,"Watertown, NY: Watertown International",68.35,2014
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",62.52,2014
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",78.9,2014
ATW,"Appleton, WI: Appleton International",73.39,2014
AUS,"Austin, TX: Austin - Bergstrom International",79.09,2014
AVL,"Asheville, NC: Asheville Regional",79.73,2014
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",80.38,2014
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",81.19,2014
BDL,"Hartford, CT: Bradley International",82.94,2014
BET,"Bethel, AK: Bethel Airport",88.96,2014
BFL,"Bakersfield, CA: Meadows Field",83.85,2014
BGR,"Bangor, ME: Bangor International",81.8,2014
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",77.68,2014
BIL,"Billings, MT: Billings Logan International",90.62,2014
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",80.45,2014
BJI,"Bemidji, MN: Bemidji Regional",90.0,2014
BKG,"Branson, MO: Branson Airport",74.33,2014
BLI,"Bellingham, WA: Bellingham International",91.22,2014
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",78.6,2014
BNA,"Nashville, TN: Nashville International",74.79,2014
BOI,"Boise, ID: Boise Air Terminal",81.34,2014
BOS,"Boston, MA: Logan International",81.21,2014
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",72.91,2014
BQK,"Brunswick, GA: Brunswick Golden Isles",81.69,2014
BQN,"Aguadilla, PR: Rafael Hernandez",80.6,2014
BRD,"Brainerd, MN: Brainerd Lakes Regional",82.87,2014
BRO,"Brownsville, TX: Brownsville South Padre Island International",77.99,2014
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",79.94,2014
BTM,"Butte, MT: Bert Mooney",92.14,2014
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",76.01,2014
BTV,"Burlington, VT: Burlington International",75.89,2014
BUF,"Buffalo, NY: Buffalo Niagara International",80.52,2014
BUR,"Burbank, CA: Bob Hope",80.23,2014
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",70.95,2014
BZN,"Bozeman, MT: Bozeman Yellowstone International",85.57,2014
CAE,"Columbia, SC: Columbia Metropolitan",76.27,2014
CAK,"Akron, OH: Akron-Canton Regional",84.42,2014
CDC,"Cedar City, UT: Cedar City Regional",92.2,2014
CDV,"Cordova, AK: Merle K Mudhole Smith",86.88,2014
CEC,"Crescent City, CA: Jack McNamara Field",59.29,2014
CHA,"Chattanooga, TN: Lovell Field",80.96,2014
CHO,"Charlottesville, VA: Charlottesville Albemarle",76.08,2014
CHS,"Charleston, SC: Charleston AFB/International",77.49,2014
CIC,"Chico, CA: Chico Municipal",69.1,2014
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",72.36,2014
CIU,"Sault Ste. Marie, MI: Chippewa County International",79.78,2014
CLD,"Carlsbad, CA: McClellan-Palomar",84.27,2014
CLE,"Cleveland, OH: Cleveland-Hopkins International",78.06,2014
CLL,"College Station/Bryan, TX: Easterwood Field",80.73,2014
CLT,"Charlotte, NC: Charlotte Douglas International",80.87,2014
CMH,"Columbus, OH: John Glenn Columbus International",76.53,2014
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",75.5,2014
CMX,"Hancock/Houghton, MI: Houghton County Memorial",68.72,2014
CNY,"Moab, UT: Canyonlands Field",94.63,2014
COD,"Cody, WY: Yellowstone Regional",82.89,2014
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",79.37,2014
COU,"Columbia, MO: Columbia Regional",79.01,2014
CPR,"Casper, WY: Casper/Natrona County International",84.24,2014
CRP,"Corpus Christi, TX: Corpus Christi International",75.34,2014
CRW,"Charleston/Dunbar, WV: Yeager",73.28,2014
CSG,"Columbus, GA: Columbus Airport",78.27,2014
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",79.27,2014
CWA,"Mosinee, WI: Central Wisconsin",74.0,2014
DAB,"Daytona Beach, FL: Daytona Beach International",85.43,2014
DAL,"Dallas, TX: Dallas Love Field",69.6,2014
DAY,"Dayton, OH: James M Cox/Dayton International",77.16,2014
DBQ,"Dubuque, IA: Dubuque Regional",74.78,2014
DCA,"Washington, DC: Ronald Reagan Washington National",81.82,2014
DEN,"Denver, CO: Denver International",72.43,2014
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",74.02,2014
DHN,"Dothan, AL: Dothan Regional",80.91,2014
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",82.73,2014
DLG,"Dillingham, AK: Dillingham Airport",76.62,2014
DLH,"Duluth, MN: Duluth International",73.8,2014
DRO,"Durango, CO: Durango La Plata County",79.87,2014
DSM,"Des Moines, IA: Des Moines International",74.55,2014
DTW,"Detroit, MI: Detroit Metro Wayne County",81.57,2014
DVL,"Devils Lake, ND: Devils Lake Regional",78.64,2014
EAU,"Eau Claire, WI: Chippewa Valley Regional",71.78,2014
ECP,"Panama City, FL: Northwest Florida Beaches International",82.86,2014
EGE,"Eagle, CO: Eagle County Regional",71.42,2014
EKO,"Elko, NV: Elko Regional",94.12,2014
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",80.89,2014
ELP,"El Paso, TX: El Paso International",78.64,2014
ERI,"Erie, PA: Erie International/Tom Ridge Field",76.41,2014
ESC,"Escanaba, MI: Delta County",74.51,2014
EUG,"Eugene, OR: Mahlon Sweet Field",79.88,2014
EVV,"Evansville, IN: Evansville Regional",76.3,2014
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",81.83,2014
EWR,"Newark, NJ: Newark Liberty International",71.26,2014
EYW,"Key West, FL: Key West International",87.69,2014
FAI,"Fairbanks, AK: Fairbanks International",87.5,2014
FAR,"Fargo, ND: Hector International",75.72,2014
FAT,"Fresno, CA: Fresno Yosemite International",79.73,2014
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",80.74,2014
FCA,"Kalispell, MT: Glacier Park International",87.44,2014
FLG,"Flagstaff, AZ: Flagstaff Pulliam",88.77,2014
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",75.0,2014
FNT,"Flint, MI: Bishop International",82.75,2014
FOE,"Topeka, KS: Topeka Regional",72.61,2014
FSD,"Sioux Falls, SD: Joe Foss Field",75.46,2014
FSM,"Fort Smith, AR: Fort Smith Regional",82.19,2014
FWA,"Fort Wayne, IN: Fort Wayne International",73.9,2014
GCC,"Gillette, WY: Gillette Campbell County",86.25,2014
GCK,"Garden City, KS: Garden City Regional",79.97,2014
GEG,"Spokane, WA: Spokane International",86.42,2014
GFK,"Grand Forks, ND: Grand Forks International",90.4,2014
GGG,"Longview, TX: East Texas Regional",73.91,2014
GJT,"Grand Junction, CO: Grand Junction Regional",87.04,2014
GNV,"Gainesville, FL: Gainesville Regional",82.24,2014
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",78.47,2014
GRB,"Green Bay, WI: Green Bay Austin Straubel International",76.37,2014
GRI,"Grand Island, NE: Central Nebraska Regional",80.92,2014
GRK,"Killeen, TX: Robert Gray AAF",80.09,2014
GRR,"Grand Rapids, MI: Gerald R. Ford International",77.19,2014
GSO,"Greensboro/High Point, NC: Piedmont Triad International",79.18,2014
GSP,"Greer, SC: Greenville-Spartanburg International",76.83,2014
GST,"Gustavus, AK: Gustavus Airport",53.25,2014
GTF,"Great Falls, MT: Great Falls International",89.24,2014
GTR,"Columbus, MS: Golden Triangle Regional",82.74,2014
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",70.74,2014
GUM,"Guam, TT: Guam International",70.96,2014
HDN,"Hayden, CO: Yampa Valley",77.13,2014
HIB,"Hibbing, MN: Range Regional",91.0,2014
HLN,"Helena, MT: Helena Regional",94.82,2014
HNL,"Honolulu, HI: Daniel K Inouye International",91.99,2014
HOB,"Hobbs, NM: Lea County Regional",80.19,2014
HOU,"Houston, TX: William P Hobby",68.21,2014
HPN,"White Plains, NY: Westchester County",75.34,2014
HRL,"Harlingen/San Benito, TX: Valley International",81.2,2014
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",79.31,2014
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",84.21,2014
HYS,"Hays, KS: Hays Regional",87.79,2014
IAD,"Washington, DC: Washington Dulles International",73.2,2014
IAH,"Houston, TX: George Bush Intercontinental/Houston",75.81,2014
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",76.47,2014
IDA,"Idaho Falls, ID: Idaho Falls Regional",88.56,2014
ILG,"Wilmington, DE: New Castle",75.21,2014
ILM,"Wilmington, NC: Wilmington International",81.4,2014
IMT,"Iron Mountain/Kingsfd, MI: Ford",81.89,2014
IND,"Indianapolis, IN: Indianapolis International",78.56,2014
INL,"International Falls, MN: Falls International Einarson Field",85.45,2014
ISN,"Williston, ND: Sloulin Field International",81.0,2014
ISP,"Islip, NY: Long Island MacArthur",74.29,2014
ITO,"Hilo, HI: Hilo International",94.7,2014
JAC,"Jackson, WY: Jackson Hole",79.92,2014
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",77.47,2014
JAX,"Jacksonville, FL: Jacksonville International",80.74,2014
JFK,"New York, NY: John F. Kennedy International",78.64,2014
JLN,"Joplin, MO: Joplin Regional",78.84,2014
JMS,"Jamestown, ND: Jamestown Regional",78.76,2014
JNU,"Juneau, AK: Juneau International",84.56,2014
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",92.7,2014
KTN,"Ketchikan, AK: Ketchikan International",82.45,2014
LAN,"Lansing, MI: Capital Region International",73.1,2014
LAR,"Laramie, WY: Laramie Regional",81.04,2014
LAS,"Las Vegas, NV: McCarran International",74.78,2014
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",80.34,2014
LAX,"Los Angeles, CA: Los Angeles International",78.43,2014
LBB,"Lubbock, TX: Lubbock Preston Smith International",78.74,2014
LCH,"Lake Charles, LA: Lake Charles Regional",83.59,2014
LEX,"Lexington, KY: Blue Grass",75.76,2014
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",78.96,2014
LGA,"New York, NY: LaGuardia",76.24,2014
LGB,"Long Beach, CA: Long Beach Airport",85.69,2014
LIH,"Lihue, HI: Lihue Airport",93.41,2014
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",73.3,2014
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",89.03,2014
LNK,"Lincoln, NE: Lincoln Airport",72.75,2014
LRD,"Laredo, TX: Laredo International",80.03,2014
LSE,"La Crosse, WI: La Crosse Regional",74.21,2014
LWS,"Lewiston, ID: Lewiston Nez Perce County",95.38,2014
MAF,"Midland/Odessa, TX: Midland International Air and Space Port",77.88,2014
MBS,"Saginaw/Bay City/Midland, MI: MBS International",71.86,2014
MCI,"Kansas City, MO: Kansas City International",77.62,2014
MCN,"Macon, GA: Middle Georgia Regional",0.0,2014
MCO,"Orlando, FL: Orlando International",76.25,2014
MDT,"Harrisburg, PA: Harrisburg International",78.71,2014
MDW,"Chicago, IL: Chicago Midway International",65.71,2014
MEI,"Meridian, MS: Key Field",72.67,2014
MEM,"Memphis, TN: Memphis International",78.16,2014
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",81.05,2014
MFR,"Medford, OR: Rogue Valley International - Medford",74.22,2014
MGM,"Montgomery, AL: Montgomery Regional",79.82,2014
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",79.74,2014
MHT,"Manchester, NH: Manchester-Boston Regional",81.63,2014
MIA,"Miami, FL: Miami International",81.42,2014
MKE,"Milwaukee, WI: General Mitchell International",77.24,2014
MKG,"Muskegon, MI: Muskegon County",66.94,2014
MLB,"Melbourne, FL: Melbourne International",85.98,2014
MLI,"Moline, IL: Quad City International",75.75,2014
MLU,"Monroe, LA: Monroe Regional",79.68,2014
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",57.68,2014
MOB,"Mobile, AL: Mobile Regional",78.49,2014
