ORIGIN,Description,N/A(PCT_ONTIME_DEP),Year
EUG,"Eugene, OR: Mahlon Sweet Field",82.19,2010
EVV,"Evansville, IN: Evansville Regional",84.91,2010
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",82.72,2010
EWR,"Newark, NJ: Newark Liberty International",75.95,2010
EYW,"Key West, FL: Key West International",73.79,2010
FAI,"Fairbanks, AK: Fairbanks International",87.79,2010
FAR,"Fargo, ND: Hector International",84.48,2010
FAT,"Fresno, CA: Fresno Yosemite International",83.89,2010
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",83.01,2010
FCA,"Kalispell, MT: Glacier Park International",89.92,2010
FLG,"Flagstaff, AZ: Flagstaff Pulliam",88.47,2010
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",79.58,2010
FLO,"Florence, SC: Florence Regional",74.2,2010
FNT,"Flint, MI: Bishop International",81.98,2010
FSD,"Sioux Falls, SD: Joe Foss Field",81.61,2010
FSM,"Fort Smith, AR: Fort Smith Regional",83.87,2010
FWA,"Fort Wayne, IN: Fort Wayne International",81.19,2010
GCC,"Gillette, WY: Gillette Campbell County",89.16,2010
GEG,"Spokane, WA: Spokane International",86.68,2010
GFK,"Grand Forks, ND: Grand Forks International",81.53,2010
GGG,"Longview, TX: East Texas Regional",85.79,2010
GJT,"Grand Junction, CO: Grand Junction Regional",87.79,2010
GNV,"Gainesville, FL: Gainesville Regional",80.81,2010
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",81.82,2010
GRB,"Green Bay, WI: Green Bay Austin Straubel International",81.72,2010
GRK,"Killeen, TX: Robert Gray AAF",83.77,2010
GRR,"Grand Rapids, MI: Gerald R. Ford International",81.8,2010
GSO,"Greensboro/High Point, NC: Piedmont Triad International",80.14,2010
GSP,"Greer, SC: Greenville-Spartanburg International",82.45,2010
GST,"Gustavus, AK: Gustavus Airport",78.26,2010
GTF,"Great Falls, MT: Great Falls International",91.1,2010
GTR,"Columbus, MS: Golden Triangle Regional",85.06,2010
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",82.97,2010
GUM,"Guam, TT: Guam International",80.0,2010
HDN,"Hayden, CO: Yampa Valley",85.12,2010
HLN,"Helena, MT: Helena Regional",92.82,2010
HNL,"Honolulu, HI: Daniel K Inouye International",92.01,2010
HOU,"Houston, TX: William P Hobby",70.87,2010
HPN,"White Plains, NY: Westchester County",79.92,2010
HRL,"Harlingen/San Benito, TX: Valley International",85.05,2010
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",84.87,2010
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",90.58,2010
IAD,"Washington, DC: Washington Dulles International",82.2,2010
IAH,"Houston, TX: George Bush Intercontinental/Houston",83.2,2010
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",85.3,2010
IDA,"Idaho Falls, ID: Idaho Falls Regional",89.6,2010
ILM,"Wilmington, NC: Wilmington International",85.39,2010
IND,"Indianapolis, IN: Indianapolis International",82.09,2010
IPL,"El Centro, CA: Imperial County",90.53,2010
ISP,"Islip, NY: Long Island MacArthur",81.38,2010
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",82.68,2010
ITO,"Hilo, HI: Hilo International",94.27,2010
IYK,"Inyokern, CA: Inyokern Airport",91.77,2010
JAC,"Jackson, WY: Jackson Hole",83.91,2010
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",81.72,2010
JAX,"Jacksonville, FL: Jacksonville International",84.47,2010
JFK,"New York, NY: John F. Kennedy International",74.74,2010
JNU,"Juneau, AK: Juneau International",83.17,2010
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",92.86,2010
KTN,"Ketchikan, AK: Ketchikan International",86.09,2010
LAN,"Lansing, MI: Capital Region International",85.26,2010
LAS,"Las Vegas, NV: McCarran International",79.2,2010
LAX,"Los Angeles, CA: Los Angeles International",82.4,2010
LBB,"Lubbock, TX: Lubbock Preston Smith International",82.99,2010
LCH,"Lake Charles, LA: Lake Charles Regional",87.19,2010
LEX,"Lexington, KY: Blue Grass",82.86,2010
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",86.45,2010
LGA,"New York, NY: LaGuardia",80.28,2010
LGB,"Long Beach, CA: Long Beach Airport",82.18,2010
LIH,"Lihue, HI: Lihue Airport",93.55,2010
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",81.17,2010
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",70.99,2010
LNK,"Lincoln, NE: Lincoln Airport",83.08,2010
LRD,"Laredo, TX: Laredo International",84.28,2010
LSE,"La Crosse, WI: La Crosse Regional",85.65,2010
LWB,"Lewisburg, WV: Greenbrier Valley",68.95,2010
LWS,"Lewiston, ID: Lewiston Nez Perce County",93.2,2010
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",82.98,2010
MAF,"Midland/Odessa, TX: Midland International Air and Space Port",84.88,2010
MBS,"Saginaw/Bay City/Midland, MI: MBS International",84.25,2010
MCI,"Kansas City, MO: Kansas City International",81.74,2010
MCO,"Orlando, FL: Orlando International",81.01,2010
MDT,"Harrisburg, PA: Harrisburg International",84.67,2010
MDW,"Chicago, IL: Chicago Midway International",70.1,2010
MEI,"Meridian, MS: Key Field",85.67,2010
MEM,"Memphis, TN: Memphis International",83.91,2010
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",87.61,2010
MFR,"Medford, OR: Rogue Valley International - Medford",79.73,2010
MGM,"Montgomery, AL: Montgomery Regional",82.8,2010
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",82.61,2010
MHT,"Manchester, NH: Manchester-Boston Regional",83.79,2010
MIA,"Miami, FL: Miami International",75.74,2010
MKE,"Milwaukee, WI: General Mitchell International",81.32,2010
MKG,"Muskegon, MI: Muskegon County",80.23,2010
MLB,"Melbourne, FL: Melbourne International",80.91,2010
MLI,"Moline, IL: Quad City International",82.16,2010
MLU,"Monroe, LA: Monroe Regional",85.79,2010
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",31.25,2010
MOB,"Mobile, AL: Mobile Regional",83.98,2010
MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",68.83,2010
MOT,"Minot, ND: Minot International",83.11,2010
MQT,"Marquette, MI: Sawyer International",86.51,2010
MRY,"Monterey, CA: Monterey Regional",79.39,2010
MSN,"Madison, WI: Dane County Regional-Truax Field",81.43,2010
MSO,"Missoula, MT: Missoula International",87.93,2010
MSP,"Minneapolis, MN: Minneapolis-St Paul International",79.72,2010
MSY,"New Orleans, LA: Louis Armstrong New Orleans International",82.85,2010
MTJ,"Montrose/Delta, CO: Montrose Regional",83.02,2010
MWH,"Moses Lake, WA: Grant County International",97.43,2010
MYR,"Myrtle Beach, SC: Myrtle Beach International",83.53,2010
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",80.18,2010
OAK,"Oakland, CA: Metropolitan Oakland International",80.45,2010
OGG,"Kahului, HI: Kahului Airport",92.43,2010
OKC,"Oklahoma City, OK: Will Rogers World",83.14,2010
OMA,"Omaha, NE: Eppley Airfield",84.1,2010
OME,"Nome, AK: Nome Airport",78.49,2010
ONT,"Ontario, CA: Ontario International",84.29,2010
ORD,"Chicago, IL: Chicago O'Hare International",77.53,2010
ORF,"Norfolk, VA: Norfolk International",81.7,2010
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",55.97,2010
OTZ,"Kotzebue, AK: Ralph Wien Memorial",79.57,2010
OXR,"Oxnard/Ventura, CA: Oxnard",92.04,2010
PAH,"Paducah, KY: Barkley Regional",83.31,2010
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",81.18,2010
PDX,"Portland, OR: Portland International",87.74,2010
PFN,"Panama City, FL: Bay County",81.03,2010
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",82.09,2010
PHL,"Philadelphia, PA: Philadelphia International",80.41,2010
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",83.32,2010
PIA,"Peoria, IL: General Downing - Peoria International",83.0,2010
PIE,"St. Petersburg, FL: St Pete Clearwater International",100.0,2010
PIH,"Pocatello, ID: Pocatello Regional",90.45,2010
PIT,"Pittsburgh, PA: Pittsburgh International",83.23,2010
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",82.97,2010
PNS,"Pensacola, FL: Pensacola International",84.35,2010
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",88.33,2010
PSE,"Ponce, PR: Mercedita",86.47,2010
PSG,"Petersburg, AK: Petersburg James A Johnson",81.49,2010
PSP,"Palm Springs, CA: Palm Springs International",84.47,2010
PVD,"Providence, RI: Theodore Francis Green State",82.51,2010
PWM,"Portland, ME: Portland International Jetport",82.0,2010
RAP,"Rapid City, SD: Rapid City Regional",82.66,2010
RDD,"Redding, CA: Redding Municipal",81.63,2010
RDM,"Bend/Redmond, OR: Roberts Field",88.06,2010
RDU,"Raleigh/Durham, NC: Raleigh-Durham International",81.94,2010
RIC,"Richmond, VA: Richmond International",82.54,2010
RKS,"Rock Springs, WY: Southwest Wyoming Regional",84.26,2010
RNO,"Reno, NV: Reno/Tahoe International",83.23,2010
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",80.24,2010
ROC,"Rochester, NY: Greater Rochester International",81.44,2010
ROW,"Roswell, NM: Roswell International Air Center",83.76,2010
RST,"Rochester, MN: Rochester International",82.76,2010
RSW,"Fort Myers, FL: Southwest Florida International",84.1,2010
SAF,"Santa Fe, NM: Santa Fe Municipal",83.13,2010
SAN,"San Diego, CA: San Diego International",82.95,2010
SAT,"San Antonio, TX: San Antonio International",83.89,2010
SAV,"Savannah, GA: Savannah/Hilton Head International",79.33,2010
SBA,"Santa Barbara, CA: Santa Barbara Municipal",84.41,2010
SBN,"South Bend, IN: South Bend International",80.51,2010
SBP,"San Luis Obispo, CA: San Luis County Regional",80.83,2010
SCC,"Deadhorse, AK: Deadhorse Airport",81.91,2010
SCE,"State College, PA: University Park",84.9,2010
SDF,"Louisville, KY: Louisville Muhammad Ali International",81.93,2010
SEA,"Seattle, WA: Seattle/Tacoma International",87.99,2010
SFO,"San Francisco, CA: San Francisco International",75.35,2010
SGF,"Springfield, MO: Springfield-Branson National",83.2,2010
SGU,"St. George, UT: St George Regional",89.73,2010
SHV,"Shreveport, LA: Shreveport Regional",86.4,2010
SIT,"Sitka, AK: Sitka Rocky Gutierrez",82.95,2010
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",82.93,2010
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",80.35,2010
SJU,"San Juan, PR: Luis Munoz Marin International",81.51,2010
SLC,"Salt Lake City, UT: Salt Lake City International",84.94,2010
SMF,"Sacramento, CA: Sacramento International",82.62,2010
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",89.48,2010
SNA,"Santa Ana, CA: John Wayne Airport-Orange County",83.82,2010
SPI,"Springfield, IL: Abraham Lincoln Capital",81.38,2010
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",79.07,2010
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",84.16,2010
STL,"St. Louis, MO: St Louis Lambert International",78.17,2010
STT,"Charlotte Amalie, VI: Cyril E King",82.93,2010
STX,"Christiansted, VI: Henry E. Rohlsen",79.29,2010
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",81.54,2010
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",86.75,2010
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",82.87,2010
SYR,"Syracuse, NY: Syracuse Hancock International",80.58,2010
TEX,"Telluride, CO: Telluride Regional",80.87,2010
TLH,"Tallahassee, FL: Tallahassee International",79.74,2010
TOL,"Toledo, OH: Toledo Express",82.64,2010
TPA,"Tampa, FL: Tampa International",82.44,2010
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",84.9,2010
TUL,"Tulsa, OK: Tulsa International",83.62,2010
TUS,"Tucson, AZ: Tucson International",87.47,2010
TVC,"Traverse City, MI: Cherry Capital",81.83,2010
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",88.49,2010
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",82.78,2010
TYR,"Tyler, TX: Tyler Pounds Regional",81.43,2010
TYS,"Knoxville, TN: McGhee Tyson",82.95,2010
UTM,"Tunica, MS: Tunica Municipal",93.48,2010
VLD,"Valdosta, GA: Valdosta Regional",84.28,2010
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",81.66,2010
WRG,"Wrangell, AK: Wrangell Airport",85.91,2010
WYS,"West Yellowstone, MT: Yellowstone",94.59,2010
XNA,"Fayetteville, AR: Northwest Arkansas Regional",81.74,2010
YAK,"Yakutat, AK: Yakutat Airport",85.18,2010
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",88.64,2010
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",81.42,2011
ABI,"Abilene, TX: Abilene Regional",86.45,2011
ABQ,"Albuquerque, NM: Albuquerque International Sunport",82.35,2011
ABY,"Albany, GA: Southwest Georgia Regional",79.56,2011
ACK,"Nantucket, MA: Nantucket Memorial",67.31,2011
ACT,"Waco, TX: Waco Regional",86.9,2011
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",66.56,2011
ACY,"Atlantic City, NJ: Atlantic City International",89.68,2011
ADK,"Adak Island, AK: Adak",56.73,2011
ADQ,"Kodiak, AK: Kodiak Airport",80.21,2011
AEX,"Alexandria, LA: Alexandria International",82.76,2011
AGS,"Augusta, GA: Augusta Regional at Bush Field",78.17,2011
AKN,"King Salmon, AK: King Salmon Airport",89.29,2011
ALB,"Albany, NY: Albany International",83.92,2011
AMA,"Amarillo, TX: Rick Husband Amarillo International",83.69,2011
ANC,"Anchorage, AK: Ted Stevens Anchorage International",89.07,2011
ART,"Watertown, NY: Watertown International",84.21,2011
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",74.41,2011
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",79.94,2011
ATW,"Appleton, WI: Appleton International",79.52,2011
AUS,"Austin, TX: Austin - Bergstrom International",84.21,2011
AVL,"Asheville, NC: Asheville Regional",78.9,2011
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",77.02,2011
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",85.42,2011
BDL,"Hartford, CT: Bradley International",84.42,2011
BET,"Bethel, AK: Bethel Airport",84.71,2011
BFL,"Bakersfield, CA: Meadows Field",83.02,2011
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",50.0,2011
BGR,"Bangor, ME: Bangor International",72.78,2011
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",83.61,2011
BIL,"Billings, MT: Billings Logan International",90.21,2011
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",83.42,2011
BKG,"Branson, MO: Branson Airport",88.34,2011
BLI,"Bellingham, WA: Bellingham International",94.96,2011
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",80.09,2011
BNA,"Nashville, TN: Nashville International",79.9,2011
BOI,"Boise, ID: Boise Air Terminal",86.6,2011
BOS,"Boston, MA: Logan International",78.89,2011
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",33.33,2011
BQK,"Brunswick, GA: Brunswick Golden Isles",79.94,2011
BQN,"Aguadilla, PR: Rafael Hernandez",82.45,2011
BRO,"Brownsville, TX: Brownsville South Padre Island International",87.12,2011
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",77.7,2011
BTM,"Butte, MT: Bert Mooney",91.98,2011
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",79.74,2011
BTV,"Burlington, VT: Burlington International",77.49,2011
BUF,"Buffalo, NY: Buffalo Niagara International",82.26,2011
BUR,"Burbank, CA: Bob Hope",84.97,2011
