Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,OriginWac,Dest,DestCityName,DestStateName,DestWac,CRSDepTime,DepDelay,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Flights,Distance,DistanceGroup
2016,1,17,7,2016-01-17,AA,ORD,"Chicago, IL",Illinois,41,BOS,"Boston, MA",Massachusetts,13,1719,1.0,0.0,0.0,1700-1759,17.0,2032,17.0,1.0,1.0,2000-2059,1.0,867.0,4
2016,1,12,2,2016-01-12,DL,LAS,"Las Vegas, NV",Nevada,85,DTW,"Detroit, MI",Michigan,43,2315,1.0,0.0,0.0,2300-2359,18.0,611,2.0,0.0,0.0,0600-0659,1.0,1749.0,7
2016,1,15,5,2016-01-15,EV,ATL,"Atlanta, GA",Georgia,34,EYW,"Key West, FL",Florida,33,1915,776.0,1.0,12.0,1900-1959,18.0,2103,776.0,1.0,12.0,2100-2159,1.0,646.0,3
2016,1,11,1,2016-01-11,WN,LAS,"Las Vegas, NV",Nevada,85,DAL,"Dallas, TX",Texas,74,1200,0.0,0.0,-1.0,1200-1259,13.0,1640,0.0,0.0,-1.0,1600-1659,1.0,1067.0,5
2016,1,31,7,2016-01-31,DL,LGA,"New York, NY",New York,22,BOS,"Boston, MA",Massachusetts,13,1900,0.0,0.0,-1.0,1900-1959,14.0,2026,0.0,0.0,-2.0,2000-2059,1.0,184.0,1
2016,1,13,3,2016-01-13,WN,ATL,"Atlanta, GA",Georgia,34,DEN,"Denver, CO",Colorado,82,1000,0.0,0.0,-1.0,1000-1059,13.0,1135,0.0,0.0,-1.0,1100-1159,1.0,1199.0,5
2016,1,27,3,2016-01-27,DL,DTW,"Detroit, MI",Michigan,43,SEA,"Seattle, WA",Washington,93,2008,0.0,0.0,-1.0,2000-2059,19.0,2221,9.0,0.0,0.0,2200-2259,1.0,1927.0,8
2016,1,10,7,2016-01-10,WN,HOU,"Houston, TX",Texas,74,MDW,"Chicago, IL",Illinois,41,830,0.0,0.0,-1.0,0800-0859,12.0,1100,0.0,0.0,-2.0,1100-1159,1.0,937.0,4
2016,1,6,3,2016-01-06,WN,ATL,"Atlanta, GA",Georgia,34,FLL,"Fort Lauderdale, FL",Florida,33,1920,2.0,0.0,0.0,1900-1959,14.0,2115,0.0,0.0,-1.0,2100-2159,1.0,581.0,3
2016,1,30,6,2016-01-30,WN,HOU,"Houston, TX",Texas,74,ATL,"Atlanta, GA",Georgia,34,1830,0.0,0.0,-1.0,1800-1859,15.0,2125,0.0,0.0,-1.0,2100-2159,1.0,696.0,3
2016,1,27,3,2016-01-27,DL,ATL,"Atlanta, GA",Georgia,34,BOS,"Boston, MA",Massachusetts,13,735,0.0,0.0,-1.0,0700-0759,21.0,1005,0.0,0.0,-1.0,1000-1059,1.0,946.0,4
2016,1,12,2,2016-01-12,WN,DAL,"Dallas, TX",Texas,74,SNA,"Santa Ana, CA",California,91,1800,30.0,1.0,2.0,1800-1859,12.0,1920,12.0,0.0,0.0,1900-1959,1.0,1216.0,5
2016,1,11,1,2016-01-11,B6,BOS,"Boston, MA",Massachusetts,13,STT,"Charlotte Amalie, VI",U.S. Virgin Islands,4,840,45.0,1.0,3.0,0800-0859,23.0,1342,53.0,1.0,3.0,1300-1359,1.0,1693.0,7
2016,1,14,4,2016-01-14,WN,FLL,"Fort Lauderdale, FL",Florida,33,MDW,"Chicago, IL",Illinois,41,1215,0.0,0.0,-1.0,1200-1259,18.0,1435,0.0,0.0,-2.0,1400-1459,1.0,1167.0,5
2016,1,9,6,2016-01-09,DL,ATL,"Atlanta, GA",Georgia,34,DAB,"Daytona Beach, FL",Florida,33,939,0.0,0.0,-1.0,0900-0959,11.0,1050,0.0,0.0,-1.0,1000-1059,1.0,366.0,2
2016,1,12,2,2016-01-12,NK,IAH,"Houston, TX",Texas,74,LAS,"Las Vegas, NV",Nevada,85,635,0.0,0.0,-1.0,0600-0659,11.0,748,0.0,0.0,-2.0,0700-0759,1.0,1222.0,5
2016,1,1,5,2016-01-01,OO,LAX,"Los Angeles, CA",California,91,SFO,"San Francisco, CA",California,91,1727,12.0,0.0,0.0,1700-1759,19.0,1857,0.0,0.0,0.0,1800-1859,1.0,337.0,2
2016,1,17,7,2016-01-17,UA,PHX,"Phoenix, AZ",Arizona,81,IAH,"Houston, TX",Texas,74,809,0.0,0.0,-1.0,0800-0859,10.0,1140,0.0,0.0,-2.0,1100-1159,1.0,1009.0,5
2016,1,6,3,2016-01-06,AA,ORD,"Chicago, IL",Illinois,41,PHL,"Philadelphia, PA",Pennsylvania,23,1215,0.0,0.0,-1.0,1200-1259,14.0,1516,0.0,0.0,-1.0,1500-1559,1.0,678.0,3
2016,1,1,5,2016-01-01,EV,ATL,"Atlanta, GA",Georgia,34,MOB,"Mobile, AL",Alabama,51,1505,0.0,0.0,-1.0,1500-1559,18.0,1524,1.0,0.0,0.0,1500-1559,1.0,302.0,2
2016,1,7,4,2016-01-07,F9,CLE,"Cleveland, OH",Ohio,44,MCO,"Orlando, FL",Florida,33,1745,0.0,0.0,-1.0,1700-1759,9.0,2025,0.0,0.0,-2.0,2000-2059,1.0,895.0,4
2016,1,26,2,2016-01-26,OO,SFO,"San Francisco, CA",California,91,ACV,"Arcata/Eureka, CA",California,91,1615,49.0,1.0,3.0,1600-1659,23.0,1725,50.0,1.0,3.0,1700-1759,1.0,250.0,2
2016,1,4,1,2016-01-04,OO,CVG,"Cincinnati, OH",Kentucky,52,ORD,"Chicago, IL",Illinois,41,720,0.0,0.0,-1.0,0700-0759,43.0,750,12.0,0.0,0.0,0700-0759,1.0,264.0,2
2016,1,8,5,2016-01-08,DL,ATL,"Atlanta, GA",Georgia,34,LAX,"Los Angeles, CA",California,91,851,0.0,0.0,0.0,0800-0859,15.0,1050,0.0,0.0,-1.0,1000-1059,1.0,1947.0,8
2016,1,27,3,2016-01-27,B6,ORD,"Chicago, IL",Illinois,41,BOS,"Boston, MA",Massachusetts,13,955,0.0,0.0,-1.0,0900-0959,18.0,1309,0.0,0.0,-2.0,1300-1359,1.0,867.0,4
2016,1,11,1,2016-01-11,OO,SEA,"Seattle, WA",Washington,93,SLC,"Salt Lake City, UT",Utah,87,2055,0.0,0.0,-1.0,2000-2059,11.0,2355,0.0,0.0,-2.0,2300-2359,1.0,689.0,3
2016,1,18,1,2016-01-18,WN,BWI,"Baltimore, MD",Maryland,35,FLL,"Fort Lauderdale, FL",Florida,33,955,0.0,0.0,-1.0,0900-0959,15.0,1240,5.0,0.0,0.0,1200-1259,1.0,925.0,4
2016,1,26,2,2016-01-26,WN,LAS,"Las Vegas, NV",Nevada,85,FLL,"Fort Lauderdale, FL",Florida,33,825,0.0,0.0,0.0,0800-0859,11.0,1555,0.0,0.0,0.0,1500-1559,1.0,2173.0,9
2016,1,26,2,2016-01-26,AS,SEA,"Seattle, WA",Washington,93,DEN,"Denver, CO",Colorado,82,635,0.0,0.0,-1.0,0600-0659,13.0,1007,0.0,0.0,-2.0,1000-1059,1.0,1024.0,5
2016,1,12,2,2016-01-12,DL,ATL,"Atlanta, GA",Georgia,34,DCA,"Washington, DC",Virginia,38,1220,0.0,0.0,-1.0,1200-1259,13.0,1406,0.0,0.0,-1.0,1400-1459,1.0,547.0,3
2016,1,10,7,2016-01-10,EV,ATL,"Atlanta, GA",Georgia,34,AEX,"Alexandria, LA",Louisiana,72,1235,0.0,0.0,-1.0,1200-1259,16.0,1322,0.0,0.0,-1.0,1300-1359,1.0,500.0,3
2016,1,14,4,2016-01-14,DL,DTW,"Detroit, MI",Michigan,43,BNA,"Nashville, TN",Tennessee,54,1718,0.0,0.0,-1.0,1700-1759,11.0,1804,0.0,0.0,-2.0,1800-1859,1.0,456.0,2
2016,1,17,7,2016-01-17,WN,OAK,"Oakland, CA",California,91,BNA,"Nashville, TN",Tennessee,54,1120,0.0,0.0,-1.0,1100-1159,9.0,1730,0.0,0.0,-1.0,1700-1759,1.0,1959.0,8
