Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,ArrTimeBlk,Flights,Distance,Day Average Temp,High Temp,Low Temp,Max Wind Speed,Precipitation,Sea Level Pressure
2016,1,12,2,2016-01-12,NK,IAH,"Houston, TX",Texas,LAS,"Las Vegas, NV",Nevada,635,-6.0,0.0,0600-0659,11.0,0700-0759,1.0,1222.0,47.88,61.0,37.0,5.0,,30.23
2016,1,3,7,2016-01-03,EV,GPT,"Gulfport/Biloxi, MS",Mississippi,DFW,"Dallas/Fort Worth, TX",Texas,600,11.0,0.0,0600-0659,11.0,0700-0759,1.0,500.0,,,,,,
2016,1,18,1,2016-01-18,WN,DEN,"Denver, CO",Colorado,SEA,"Seattle, WA",Washington,1220,2.0,0.0,1200-1259,9.0,1400-1459,1.0,1024.0,,,,,,
2016,1,5,2,2016-01-05,UA,EWR,"Newark, NJ",New Jersey,PBI,"West Palm Beach/Palm Beach, FL",Florida,818,-4.0,0.0,0800-0859,23.0,1100-1159,1.0,1023.0,,,,,,
2016,1,17,7,2016-01-17,WN,RSW,"Fort Myers, FL",Florida,MDW,"Chicago, IL",Illinois,1715,-1.0,0.0,1700-1759,15.0,1900-1959,1.0,1105.0,,,,,,
2016,1,19,2,2016-01-19,UA,SFO,"San Francisco, CA",California,LAX,"Los Angeles, CA",California,2010,-1.0,0.0,2000-2059,27.0,2100-2159,1.0,337.0,,,,,,
2016,1,19,2,2016-01-19,WN,SLC,"Salt Lake City, UT",Utah,LAS,"Las Vegas, NV",Nevada,1055,1.0,0.0,1000-1059,8.0,1100-1159,1.0,368.0,,,,,,
2016,1,30,6,2016-01-30,AS,PDX,"Portland, OR",Oregon,SFO,"San Francisco, CA",California,1820,-2.0,0.0,1800-1859,8.0,2000-2059,1.0,550.0,,,,,,
2016,1,1,5,2016-01-01,OO,LAX,"Los Angeles, CA",California,SFO,"San Francisco, CA",California,1727,12.0,0.0,1700-1759,19.0,1800-1859,1.0,337.0,54.75,65.0,44.0,12.0,,30.02
2016,1,19,2,2016-01-19,DL,SDF,"Louisville, KY",Kentucky,ATL,"Atlanta, GA",Georgia,815,-6.0,0.0,0800-0859,11.0,0900-0959,1.0,321.0,,,,,,
2016,1,17,7,2016-01-17,UA,PHX,"Phoenix, AZ",Arizona,IAH,"Houston, TX",Texas,809,-2.0,0.0,0800-0859,10.0,1100-1159,1.0,1009.0,54.63,67.0,44.0,9.0,,29.01
2016,1,13,3,2016-01-13,WN,DCA,"Washington, DC",Virginia,MKE,"Milwaukee, WI",Wisconsin,2030,-4.0,0.0,2000-2059,8.0,2100-2159,1.0,634.0,,,,,,
2016,1,2,6,2016-01-02,UA,PIT,"Pittsburgh, PA",Pennsylvania,SFO,"San Francisco, CA",California,625,17.0,1.0,0600-0659,11.0,0900-0959,1.0,2254.0,,,,,,
2016,1,30,6,2016-01-30,NK,SAN,"San Diego, CA",California,DFW,"Dallas/Fort Worth, TX",Texas,1730,-2.0,0.0,1700-1759,13.0,2200-2259,1.0,1171.0,,,,,,
2016,1,18,1,2016-01-18,AA,ATL,"Atlanta, GA",Georgia,DFW,"Dallas/Fort Worth, TX",Texas,1107,1.0,0.0,1100-1159,23.0,1200-1259,1.0,731.0,,,,,,
2016,1,30,6,2016-01-30,AA,BOS,"Boston, MA",Massachusetts,CLT,"Charlotte, NC",North Carolina,940,-6.0,0.0,0900-0959,16.0,1200-1259,1.0,728.0,,,,,,
2016,1,25,1,2016-01-25,DL,ATL,"Atlanta, GA",Georgia,RDU,"Raleigh/Durham, NC",North Carolina,730,-2.0,0.0,0700-0759,27.0,0800-0859,1.0,356.0,,,,,,
2016,1,16,6,2016-01-16,OO,SLC,"Salt Lake City, UT",Utah,GTF,"Great Falls, MT",Montana,1105,3.0,0.0,1100-1159,12.0,1200-1259,1.0,463.0,,,,,,
2016,1,6,3,2016-01-06,AA,ORD,"Chicago, IL",Illinois,PHL,"Philadelphia, PA",Pennsylvania,1215,-7.0,0.0,1200-1259,14.0,1500-1559,1.0,678.0,30.58,36.0,21.0,13.0,,29.61
2016,1,1,5,2016-01-01,EV,ATL,"Atlanta, GA",Georgia,MOB,"Mobile, AL",Alabama,1505,-1.0,0.0,1500-1559,18.0,1500-1559,1.0,302.0,42.58,46.0,39.0,16.0,0.01,29.17
2016,1,7,4,2016-01-07,F9,CLE,"Cleveland, OH",Ohio,MCO,"Orlando, FL",Florida,1745,-5.0,0.0,1700-1759,9.0,2000-2059,1.0,895.0,33.33,46.0,24.0,8.0,,29.45
2016,1,14,4,2016-01-14,OO,SEA,"Seattle, WA",Washington,PHX,"Phoenix, AZ",Arizona,1440,-4.0,0.0,1400-1459,16.0,1800-1859,1.0,1107.0,,,,,,
2016,1,2,6,2016-01-02,DL,SEA,"Seattle, WA",Washington,ANC,"Anchorage, AK",Alaska,1132,16.0,1.0,1100-1159,21.0,1400-1459,1.0,1448.0,,,,,,
2016,1,27,3,2016-01-27,OO,DCA,"Washington, DC",Virginia,ORD,"Chicago, IL",Illinois,845,-5.0,0.0,0800-0859,30.0,1000-1059,1.0,612.0,,,,,,
2016,1,4,1,2016-01-04,OO,JAC,"Jackson, WY",Wyoming,DEN,"Denver, CO",Colorado,1726,59.0,1.0,1700-1759,14.0,1900-1959,1.0,406.0,,,,,,
2016,1,26,2,2016-01-26,OO,SFO,"San Francisco, CA",California,ACV,"Arcata/Eureka, CA",California,1615,49.0,1.0,1600-1659,23.0,1700-1759,1.0,250.0,51.43,56.0,47.0,10.0,,30.36
2016,1,20,3,2016-01-20,DL,PBI,"West Palm Beach/Palm Beach, FL",Florida,LGA,"New York, NY",New York,1451,-5.0,0.0,1400-1459,17.0,1700-1759,1.0,1035.0,,,,,,
2016,1,4,1,2016-01-04,OO,CVG,"Cincinnati, OH",Kentucky,ORD,"Chicago, IL",Illinois,720,-2.0,0.0,0700-0759,43.0,0700-0759,1.0,264.0,30.54,35.0,24.0,15.0,,29.56
2016,1,31,7,2016-01-31,DL,LAX,"Los Angeles, CA",California,HNL,"Honolulu, HI",Hawaii,1455,15.0,1.0,1400-1459,19.0,1800-1859,1.0,2556.0,,,,,,
2016,1,12,2,2016-01-12,AA,ORD,"Chicago, IL",Illinois,LGA,"New York, NY",New York,1950,-8.0,0.0,1900-1959,14.0,2200-2259,1.0,733.0,,,,,,
2016,1,29,5,2016-01-29,OO,JMS,"Jamestown, ND",North Dakota,DVL,"Devils Lake, ND",North Dakota,2310,-32.0,0.0,2300-2359,30.0,2300-2359,1.0,83.0,,,,,,
2016,1,8,5,2016-01-08,DL,ATL,"Atlanta, GA",Georgia,LAX,"Los Angeles, CA",California,851,0.0,0.0,0800-0859,15.0,1000-1059,1.0,1947.0,50.63,54.0,48.0,14.0,0.21,28.95
2016,1,6,3,2016-01-06,UA,EWR,"Newark, NJ",New Jersey,ORD,"Chicago, IL",Illinois,1003,159.0,1.0,1000-1059,18.0,1100-1159,1.0,719.0,,,,,,
2016,1,5,2,2016-01-05,HA,LIH,"Lihue, HI",Hawaii,OGG,"Kahului, HI",Hawaii,1053,-7.0,0.0,1000-1059,7.0,1100-1159,1.0,201.0,,,,,,
2016,1,9,6,2016-01-09,AA,LAX,"Los Angeles, CA",California,JFK,"New York, NY",New York,700,-11.0,0.0,0700-0759,17.0,1500-1559,1.0,2475.0,,,,,,
2016,1,10,7,2016-01-10,AA,MCI,"Kansas City, MO",Missouri,PHX,"Phoenix, AZ",Arizona,540,30.0,1.0,0001-0559,28.0,0700-0759,1.0,1044.0,,,,,,
2016,1,27,3,2016-01-27,B6,ORD,"Chicago, IL",Illinois,BOS,"Boston, MA",Massachusetts,955,-10.0,0.0,0900-0959,18.0,1300-1359,1.0,867.0,29.38,34.0,23.0,21.0,,29.52
2016,1,22,5,2016-01-22,WN,PDX,"Portland, OR",Oregon,SMF,"Sacramento, CA",California,1555,-6.0,0.0,1500-1559,9.0,1700-1759,1.0,479.0,,,,,,
2016,1,11,1,2016-01-11,DL,CLT,"Charlotte, NC",North Carolina,ATL,"Atlanta, GA",Georgia,1435,-1.0,0.0,1400-1459,14.0,1600-1659,1.0,226.0,,,,,,
2016,1,19,2,2016-01-19,EV,TLH,"Tallahassee, FL",Florida,DFW,"Dallas/Fort Worth, TX",Texas,611,-5.0,0.0,0600-0659,13.0,0700-0759,1.0,767.0,,,,,,
2016,1,1,5,2016-01-01,AA,BOS,"Boston, MA",Massachusetts,PHX,"Phoenix, AZ",Arizona,1855,1.0,0.0,1800-1859,19.0,2300-2359,1.0,2300.0,,,,,,
2016,1,11,1,2016-01-11,OO,SEA,"Seattle, WA",Washington,SLC,"Salt Lake City, UT",Utah,2055,-8.0,0.0,2000-2059,11.0,2300-2359,1.0,689.0,41.13,47.0,36.0,15.0,,29.71
2016,1,18,1,2016-01-18,WN,BWI,"Baltimore, MD",Maryland,FLL,"Fort Lauderdale, FL",Florida,955,-5.0,0.0,0900-0959,15.0,1200-1259,1.0,925.0,20.63,31.0,15.0,24.0,0.05,30.05
2016,1,29,5,2016-01-29,WN,OKC,"Oklahoma City, OK",Oklahoma,STL,"St. Louis, MO",Missouri,1725,1.0,0.0,1700-1759,7.0,1800-1859,1.0,462.0,,,,,,
2016,1,3,7,2016-01-03,WN,MCI,"Kansas City, MO",Missouri,HOU,"Houston, TX",Texas,555,-4.0,0.0,0001-0559,13.0,0800-0859,1.0,666.0,,,,,,
2016,1,4,1,2016-01-04,OO,DEN,"Denver, CO",Colorado,MFR,"Medford, OR",Oregon,1126,2.0,0.0,1100-1159,22.0,1300-1359,1.0,964.0,,,,,,
2016,1,24,7,2016-01-24,HA,KOA,"Kona, HI",Hawaii,HNL,"Honolulu, HI",Hawaii,2017,22.0,1.0,2000-2059,13.0,2100-2159,1.0,163.0,,,,,,
2016,1,15,5,2016-01-15,OO,SLC,"Salt Lake City, UT",Utah,RDM,"Bend/Redmond, OR",Oregon,1115,21.0,1.0,1100-1159,35.0,1200-1259,1.0,525.0,,,,,,
2016,1,26,2,2016-01-26,WN,LAS,"Las Vegas, NV",Nevada,FLL,"Fort Lauderdale, FL",Florida,825,0.0,0.0,0800-0859,11.0,1500-1559,1.0,2173.0,49.17,58.0,43.0,17.0,,28.09
2016,1,1,5,2016-01-01,OO,CIU,"Sault Ste. Marie, MI",Michigan,DTW,"Detroit, MI",Michigan,615,1.0,0.0,0600-0659,28.0,0700-0759,1.0,284.0,,,,,,
2016,1,26,2,2016-01-26,F9,LGA,"New York, NY",New York,ATL,"Atlanta, GA",Georgia,945,19.0,1.0,0900-0959,34.0,1200-1259,1.0,762.0,,,,,,
2016,1,26,2,2016-01-26,AS,SEA,"Seattle, WA",Washington,DEN,"Denver, CO",Colorado,635,-11.0,0.0,0600-0659,13.0,1000-1059,1.0,1024.0,50.86,55.0,46.0,14.0,,29.81
